Differentially expressed genes,,,,,,,,,
EntrezID,Symbols,GeneName,Chr.1,logFC,AveExpr,t,P.Value,adj.P.Val,B
240725,Sulf1,sulfatase 1,1,1.627852938,-0.013664829,-4.83603613,0.000284271,0.002507155,0.561110634
268354,Fam19a2,"family with sequence similarity 19, member A2",10,1.626544311,2.123673007,-8.858031297,5.02E-07,4.48E-05,6.653461284
18162,Npr3,natriuretic peptide receptor 3,15,1.620303838,1.596922396,-8.395316835,9.38E-07,6.54E-05,6.061390618
18549,Pcsk2,proprotein convertase subtilisin/kexin type 2,2,1.620083642,1.116274168,-6.996186998,7.25E-06,0.00022606,4.065433866
106722,AU023871,expressed sequence AU023871,17,1.617057033,-1.206796632,-4.322541218,0.000744332,0.005032733,-0.282475814
22141,Tub,tubby candidate gene,7,1.616318584,6.437964688,-10.65210865,5.47E-08,1.41E-05,8.296341912
94109,Csmd1,CUB and Sushi multiple domains 1,8,1.611983659,0.85649159,-6.242752132,2.42E-05,0.000504228,2.902924374
110876,Scn2a1,"sodium channel, voltage-gated, type II, alpha 1",2,1.601438993,1.487834559,-6.830787955,9.39E-06,0.000265702,3.779805561
100503519,Gm19744,"predicted gene, 19744",8,1.600720999,-0.770002879,-4.122238978,0.001091922,0.006513072,-0.662534954
208151,Tmem132b,transmembrane protein 132B,5,1.595967578,0.439513169,-4.774905642,0.000318265,0.002709541,0.407599477
76829,Dok5,docking protein 5,2,1.593325983,1.788788635,-7.987676781,1.66E-06,9.07E-05,5.478115452
12842,Col1a1,"collagen, type I, alpha 1",11,1.590523121,-1.44533743,-3.970663091,0.001462825,0.007990739,-0.895025043
17470,Cd200,CD200 antigen,16,1.587854545,2.752587598,-8.154584978,1.31E-06,7.87E-05,5.611201671
229949,Ak5,adenylate kinase 5,3,1.586598647,1.241483913,-6.62498212,1.30E-05,0.000335515,3.481667854
13869,Erbb4,v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian),1,1.585873611,1.828357503,-6.470760123,1.67E-05,0.000394279,3.159709021
93893,Pcdhb22,protocadherin beta 22,18,1.584949917,4.246708869,-19.32678172,2.66E-11,1.89E-07,16.41196998
338370,Nalcn,"sodium leak channel, non-selective",14,1.578428021,2.477358328,-7.975426747,1.69E-06,9.10E-05,5.38885041
64450,Gpr85,G protein-coupled receptor 85,6,1.574550245,3.148647459,-10.08938437,1.06E-07,1.82E-05,8.117645415
100039239,Gm2115,predicted gene 2115,7,1.574076763,0.906569009,-5.324731801,0.000117238,0.001377636,1.332138789
327954,Dnah2,"dynein, axonemal, heavy chain 2",11,1.572954912,-1.294523562,-4.374572678,0.000674251,0.004667589,-0.185126022
241118,Asic4,acid-sensing (proton-gated) ion channel family member 4,1,1.57232687,-0.613843611,-4.196468295,0.000946935,0.005910969,-0.539301258
170935,Grid2ip,"glutamate receptor, ionotropic, delta 2 (Grid2) interacting protein 1",5,1.569825077,-0.558550933,-4.197430926,0.00094519,0.005905072,-0.542580515
226518,Nmnat2,nicotinamide nucleotide adenylyltransferase 2,1,1.564869922,4.51909631,-10.11171914,1.03E-07,1.82E-05,7.916633809
12877,Cpeb1,cytoplasmic polyadenylation element binding protein 1,7,1.564817351,-0.806388497,-4.587322667,0.000451393,0.003512867,0.167420279
277468,Slc39a12,"solute carrier family 39 (zinc transporter), member 12",2,1.564609083,-0.347364517,-4.56235516,0.000473033,0.003635532,0.103202121
212933,Pm20d1,peptidase M20 domain containing 1,1,1.557858852,0.231904172,-5.179579055,0.000152018,0.001650844,1.149313176
319200,Gpr82,G protein-coupled receptor 82,X,1.54816244,-1.092550274,-4.163888479,0.001007972,0.006152778,-0.570961685
16404,Itga7,integrin alpha 7,10,1.546598075,6.026720444,-11.53710302,2.04E-08,1.00E-05,9.370619958
628850,6030426L16Rik,RIKEN cDNA 6030426L16 gene,12,1.545935298,0.098225387,-5.993855717,3.67E-05,0.000661631,2.525470753
211468,Kcnh8,"potassium voltage-gated channel, subfamily H (eag-related), member 8",17,1.542246742,0.134566725,-4.889524132,0.000257618,0.002335877,0.634896825
328734,Pisd-ps2,"phosphatidylserine decarboxylase, pseudogene 2",17,1.535727832,1.083267861,-6.354999788,2.02E-05,0.000442484,3.052856633
319642,Rab9b,"RAB9B, member RAS oncogene family",X,1.53568307,0.180978988,-5.968139639,3.84E-05,0.000686318,2.487528919
207175,Cetn4,centrin 4,3,1.534600205,-1.126267958,-3.8267375,0.001934269,0.009802959,-1.186264285
210503,Zfp677,zinc finger protein 677,17,1.533660236,0.869624052,-6.440703313,1.75E-05,0.000406041,3.209966455
100861711,NA,NA,NA,1.532354506,2.17603361,-8.065928588,1.49E-06,8.52E-05,5.536586736
67801,Pllp,plasma membrane proteolipid,8,1.531091287,2.430094126,-10.15950639,9.75E-08,1.80E-05,8.265437414
71685,Galnt14,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14,17,1.530798106,-1.300551874,-4.143226521,0.001048758,0.006335303,-0.60852423
80297,Sptbn4,"spectrin beta, non-erythrocytic 4",7,1.529902857,0.820383637,-6.197049184,2.62E-05,0.00052768,2.826122359
103098,Slc6a15,"solute carrier family 6 (neurotransmitter transporter), member 15",10,1.528285752,2.760836441,-9.323717275,2.74E-07,3.22E-05,7.197522655
213956,Fam83f,"family with sequence similarity 83, member F",15,1.526822821,-0.441246245,-4.580943485,0.000456823,0.003537706,0.138807601
216028,Lrrtm3,leucine rich repeat transmembrane neuronal 3,10,1.526787876,4.047586259,-9.305866596,2.80E-07,3.23E-05,6.963428382
94217,Lrp1b,low density lipoprotein-related protein 1B (deleted in tumors),2,1.521260369,2.384883311,-8.051078398,1.52E-06,8.67E-05,5.505580426
72927,Hepacam,hepatocyte cell adhesion molecule,9,1.520874573,3.978331028,-10.5668769,6.04E-08,1.41E-05,8.569019576
77521,Mtus2,microtubule associated tumor suppressor candidate 2,5,1.52064468,-0.94331421,-4.97002442,0.000222291,0.00212236,0.838461171
19039,Lgals3bp,"lectin, galactoside-binding, soluble, 3 binding protein",11,1.518750567,-1.400045432,-4.19413169,0.000951184,0.005926701,-0.507821756
18573,Pde1a,"phosphodiesterase 1A, calmodulin-dependent",2,1.518107681,0.720292571,-5.668977018,6.40E-05,0.000952993,1.955498057
215113,Slc43a2,"solute carrier family 43, member 2",11,1.516630681,4.263283199,-10.60242125,5.79E-08,1.41E-05,8.557285457
241489,Pde11a,phosphodiesterase 11A,2,1.514792178,-0.930677096,-4.305716851,0.000768563,0.005147633,-0.328334929
71186,4933417D19Rik,RIKEN cDNA 4933417D19 gene,8,1.511158535,-1.019587537,-4.18336783,0.000971009,0.005998079,-0.541670817
243961,Shank1,SH3/ankyrin domain gene 1,7,1.510133529,-0.743850428,-4.27141368,0.000820511,0.005356855,-0.400860958
16524,Kcnj9,"potassium inwardly-rectifying channel, subfamily J, member 9",1,1.509789543,-1.511882461,-4.296917748,0.000781557,0.005197955,-0.316847189
74002,Psd2,pleckstrin and Sec7 domain containing 2,18,1.50883192,1.366956926,-6.130906626,2.92E-05,0.000566571,2.661661746
213649,Arhgef19,Rho guanine nucleotide exchange factor (GEF) 19,4,1.505549006,0.978280238,-6.010248133,3.57E-05,0.000649343,2.5040914
280645,B3gat2,"beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)",1,1.503097742,3.026146591,-10.64935199,5.49E-08,1.41E-05,8.795537197
244209,Cyp2r1,"cytochrome P450, family 2, subfamily r, polypeptide 1",7,1.502162971,-0.316020338,-4.828309573,0.000288351,0.002533704,0.559821656
72258,Kcnk10,"potassium channel, subfamily K, member 10",12,1.495936561,2.545960661,-7.088850735,6.29E-06,0.000209423,4.03582841
14871,Gstt1,"glutathione S-transferase, theta 1",10,1.495218021,3.090006403,-8.410033035,9.19E-07,6.54E-05,5.914444755
210719,Mkx,mohawk homeobox,18,1.492285359,-1.113853406,-4.641103563,0.000408185,0.003272625,0.270471156
83674,Cnnm1,cyclin M1,19,1.488661097,-0.214814869,-4.290706632,0.000790865,0.005244083,-0.421157591
236604,Pisd-ps1,"phosphatidylserine decarboxylase, pseudogene 1",11,1.485756445,3.259177882,-9.582093713,1.98E-07,2.64E-05,7.430904215
18600,Padi2,"peptidyl arginine deiminase, type II",4,1.484053902,-0.700601933,-4.375717027,0.000672788,0.004659731,-0.211144853
12289,Cacna1d,"calcium channel, voltage-dependent, L type, alpha 1D subunit",14,1.481798875,1.704027183,-6.544713717,1.48E-05,0.000362347,3.292808818
228846,D630003M21Rik,RIKEN cDNA D630003M21 gene,2,1.481739046,-0.056387382,-4.629364062,0.000417237,0.003325273,0.187225052
11606,Agt,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)",8,1.478091406,-0.356613338,-4.117837618,0.001101202,0.006534492,-0.722461712
329178,Unc80,unc-80 homolog (C. elegans),1,1.470482724,1.801712825,-6.097170876,3.09E-05,0.000591359,2.542080122
791346,Gm10118,predicted gene 10118,10,1.469856469,-1.036908275,-4.190089597,0.000958579,0.005949717,-0.529634661
545471,Zfp345,zinc finger protein 345,2,1.467137499,-0.71448852,-4.154781546,0.001025745,0.006222705,-0.640140936
114886,Cygb,cytoglobin,11,1.466998429,0.279471945,-4.035768372,0.001289849,0.007313426,-0.922220168
54561,Nap1l3,nucleosome assembly protein 1-like 3,X,1.465503719,2.345201032,-9.829601476,1.45E-07,2.20E-05,7.870561595
544817,Arhgap27,Rho GTPase activating protein 27,11,1.463466392,-0.127849789,-4.326000732,0.000739448,0.005009232,-0.349345585
381925,Ppapdc1a,phosphatidic acid phosphatase type 2 domain containing 1A,7,1.461486094,2.802650526,-8.001655417,1.63E-06,9.03E-05,5.370058785
70005,Znf41-ps,"ZNF41, pseudogene",4,1.46014691,4.494356196,-17.59993556,9.11E-11,3.09E-07,15.15491787
223838,Adamts20,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 20",15,1.458910365,1.32910172,-7.450733823,3.63E-06,0.000145439,4.731251346
208982,Hmgcll1,3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase-like 1,9,1.450798521,2.240230871,-8.17433635,1.28E-06,7.75E-05,5.700732174
110637,Grik4,"glutamate receptor, ionotropic, kainate 4",9,1.450513938,2.103940744,-7.361408224,4.15E-06,0.000157542,4.523911307
100503000,Gm13248,predicted gene 13248,4,1.447935426,2.027369425,-9.716231093,1.67E-07,2.44E-05,7.746013543
96935,Susd4,sushi domain containing 4,1,1.447191894,3.302347644,-8.562460401,7.46E-07,5.74E-05,6.084017462
242773,Slc45a1,"solute carrier family 45, member 1",4,1.446532669,-0.148070966,-4.457031436,0.000576792,0.00418859,-0.109607799
100040529,Gm2824,predicted gene 2824,15,1.44565892,-0.509988241,-4.173727361,0.000989125,0.006070447,-0.596852227
269629,Lhfpl3,lipoma HMGIC fusion partner-like 3,5,1.443690515,5.81350239,-12.58062799,6.89E-09,5.44E-06,10.53339074
72393,Faim2,Fas apoptotic inhibitory molecule 2,15,1.442118569,-0.532067344,-4.203249147,0.000934716,0.00586693,-0.541480281
21682,Tec,tec protein tyrosine kinase,5,1.439648026,-0.067809706,-4.74799105,0.000334543,0.002822778,0.406414034
72003,Synpr,synaptoporin,14,1.438922769,2.306945586,-8.829492241,5.21E-07,4.55E-05,6.590433812
67448,Plxdc2,plexin domain containing 2,2,1.437510574,2.595579678,-7.666120905,2.64E-06,0.00011971,4.906320046
94090,Trim9,tripartite motif-containing 9,12,1.436853342,6.415139073,-10.97696353,3.78E-08,1.34E-05,8.677642593
100038555,Gm10578,predicted gene 10578,7,1.436069425,-1.252811725,-4.081670999,0.001180587,0.006861649,-0.715323514
207393,Elfn2,"leucine rich repeat and fibronectin type III, extracellular 2",15,1.435972193,3.175000707,-7.854808895,2.01E-06,0.000100617,5.075925476
52668,Ifi27,"interferon, alpha-inducible protein 27",12,1.433158596,-0.465046883,-4.401953955,0.000640135,0.004494885,-0.20384483
109361,D730005E14Rik,RIKEN cDNA D730005E14 gene,15,1.432176199,-1.068593172,-4.420007513,0.000618619,0.004395839,-0.119525666
22671,Rnf112,ring finger protein 112,11,1.428020421,-0.688067542,-4.094992274,0.001150687,0.006753164,-0.721480374
14617,Gjd2,"gap junction protein, delta 2",2,1.427021352,-0.362560995,-4.218482834,0.00090785,0.005742587,-0.525713582
20266,Scn1b,"sodium channel, voltage-gated, type I, beta",7,1.426858879,2.864641488,-7.764361444,2.29E-06,0.000110409,5.012796642
17762,Mapt,microtubule-associated protein tau,11,1.426325693,3.626261271,-9.706685121,1.69E-07,2.44E-05,7.550902003
56533,Rgs17,regulator of G-protein signaling 17,10,1.424939575,2.094587499,-8.137159385,1.34E-06,8.00E-05,5.649155141
244954,Prss35,"protease, serine, 35",9,1.422558737,0.352750335,-4.147109701,0.001040966,0.006293575,-0.735363324
18197,Nsg2,neuron specific gene family member 2,11,1.413150008,3.185577097,-7.917562071,1.84E-06,9.49E-05,5.180896139
319317,Snhg11,small nucleolar RNA host gene 11,2,1.409869736,1.018481165,-4.434082024,0.000602362,0.004303968,-0.323570142
100039795,Ildr2,immunoglobulin-like domain containing receptor 2,1,1.407505959,2.9793537,-9.065941764,3.82E-07,3.80E-05,6.820706734
79362,Bhlhe41,"basic helix-loop-helix family, member e41",6,1.405247194,-0.60591369,-4.39827548,0.000644613,0.0045196,-0.181157363
239759,Liph,"lipase, member H",16,1.405186097,3.300823405,-9.057623122,3.86E-07,3.80E-05,6.760413041
241656,Pak7,p21 protein (Cdc42/Rac)-activated kinase 7,2,1.405045014,0.069064094,-5.014192823,0.000205084,0.002006551,0.863935588
12745,Clgn,calmegin,8,1.404919365,1.571155999,-5.537262321,8.06E-05,0.001091441,1.607077688
74103,Nebl,nebulette,2,1.404891395,4.264488373,-11.18297711,3.00E-08,1.12E-05,9.23069323
12522,Cd83,CD83 antigen,13,1.402859088,-0.611153042,-4.034142182,0.001293904,0.007333497,-0.842380018
269152,Kif26b,kinesin family member 26B,1,1.402796236,-1.387511041,-3.89094935,0.001707289,0.008945819,-1.055966267
16467,Atcay,"ataxia, cerebellar, Cayman type homolog (human)",10,1.400021642,4.539489305,-8.784888102,5.53E-07,4.63E-05,6.140824264
74189,Phactr3,phosphatase and actin regulator 3,2,1.394831678,0.37593916,-3.999303013,0.001383986,0.007661446,-1.02241403
12583,Cdo1,"cysteine dioxygenase 1, cytosolic",18,1.394070889,0.300769618,-4.209469614,0.000923648,0.005816653,-0.612337847
12661,Chl1,cell adhesion molecule with homology to L1CAM,6,1.393432339,7.732598034,-9.458509801,2.31E-07,2.90E-05,6.690960303
75104,Mmd2,monocyte to macrophage differentiation-associated 2,5,1.384178837,3.032109373,-7.369244648,4.10E-06,0.000156533,4.384937545
73095,Slc25a42,"solute carrier family 25, member 42",8,1.383827256,0.506821823,-5.310054497,0.000120343,0.001405458,1.348274521
245386,Tmem255a,transmembrane protein 255A,X,1.382798841,2.119480272,-7.692426398,2.54E-06,0.000117817,5.011770698
217143,Gpr179,G protein-coupled receptor 179,11,1.382627179,1.129891316,-6.944510256,7.86E-06,0.000239037,3.975328441
105732,Fam83h,"family with sequence similarity 83, member H",15,1.381546699,-0.244702462,-4.472764535,0.000559912,0.004118564,-0.072844158
20511,Slc1a2,"solute carrier family 1 (glial high affinity glutamate transporter), member 2",2,1.380587325,5.029276237,-10.7364958,4.97E-08,1.41E-05,8.576321222
74559,Elovl7,"ELOVL family member 7, elongation of long chain fatty acids (yeast)",13,1.379539607,1.601938134,-6.331536545,2.09E-05,0.000452846,2.960332403
12669,Chrm1,"cholinergic receptor, muscarinic 1, CNS",19,1.378676206,0.225275322,-3.977402164,0.00144387,0.007909319,-1.04273926
16485,Kcna1,"potassium voltage-gated channel, shaker-related subfamily, member 1",6,1.37707371,3.411622098,-11.74607092,1.63E-08,9.67E-06,9.977626933
12386,Ctnna2,"catenin (cadherin associated protein), alpha 2",6,1.376433934,4.234958204,-10.32424617,8.02E-08,1.63E-05,8.215152275
11541,Adora2b,adenosine A2b receptor,11,1.376332899,-0.811463579,-4.010375945,0.00135468,0.007555538,-0.87201773
103406,Zfr2,zinc finger RNA binding protein 2,10,1.375463701,-0.468820336,-4.592959635,0.000446651,0.003485492,0.154932613
58237,Nkain4,Na+/K+ transporting ATPase interacting 4,2,1.375108792,-0.293523492,-4.475505773,0.000557023,0.004101557,-0.067828587
11658,Alcam,activated leukocyte cell adhesion molecule,16,1.367911516,5.132277376,-11.23167534,2.85E-08,1.11E-05,9.137480493
67528,Nudt7,nudix (nucleoside diphosphate linked moiety X)-type motif 7,8,1.367462447,0.237318888,-4.172421847,0.000991605,0.00608042,-0.68757072
15165,Hcn1,"hyperpolarization-activated, cyclic nucleotide-gated K+ 1",13,1.367074923,-0.655087317,-4.504309687,0.000527583,0.003941909,-0.011889129
23959,Nt5e,"5' nucleotidase, ecto",9,1.360233871,2.659797031,-7.804181684,2.16E-06,0.000105647,5.089345408
245450,Slitrk2,"SLIT and NTRK-like family, member 2",X,1.359943732,5.780397379,-9.161042282,3.37E-07,3.64E-05,6.440274351
19092,Prkg2,"protein kinase, cGMP-dependent, type II",5,1.359882629,3.721569587,-9.295358521,2.84E-07,3.23E-05,7.003182823
73442,Hspa12a,heat shock protein 12A,19,1.359495607,1.917921615,-6.884111592,8.64E-06,0.000252829,3.799504609
72022,Slc35f2,"solute carrier family 35, member F2",9,1.357079817,0.289855547,-4.826264429,0.000289442,0.002540158,0.495269346
72925,Mar-01,membrane-associated ring finger (C3HC4) 1,8,1.356303948,1.811106416,-6.885934002,8.61E-06,0.000252829,3.809739815
213417,Klhdc8a,kelch domain containing 8A,1,1.352462128,-0.446358351,-4.479843607,0.000552483,0.004080802,-0.056381864
103172,Chchd10,coiled-coil-helix-coiled-coil-helix domain containing 10,10,1.349732768,1.403471221,-5.528609078,8.18E-05,0.001101959,1.628190075
93671,Cd163,CD163 antigen,6,1.345286916,1.644753561,-7.621722175,2.82E-06,0.000125278,4.944513247
242748,Ptchd2,patched domain containing 2,4,1.344087854,1.221548539,-5.447051129,9.44E-05,0.001199441,1.499729445
241226,Itga8,integrin alpha 8,2,1.341794968,2.999657657,-8.103962312,1.41E-06,8.24E-05,5.469583366
11307,Abcg1,"ATP-binding cassette, sub-family G (WHITE), member 1",17,1.335998072,1.835120678,-5.766274832,5.41E-05,0.000856573,1.972242362
20356,Sema5a,"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A",15,1.331254895,4.179585965,-11.39653374,2.38E-08,1.06E-05,9.479842366
22239,Ugt8a,UDP galactosyltransferase 8A,3,1.328855465,3.68750174,-9.431827693,2.39E-07,2.95E-05,7.182611407
12291,Cacna1g,"calcium channel, voltage-dependent, T type, alpha 1G subunit",11,1.328337871,-0.325643116,-4.169814612,0.000996577,0.006101993,-0.64427869
16826,Ldb2,LIM domain binding 2,5,1.325573127,1.429712787,-5.561868296,7.72E-05,0.001066795,1.662445847
58869,Pex5l,peroxisomal biogenesis factor 5-like,3,1.323004201,2.515786474,-6.999914681,7.21E-06,0.000225809,3.877235236
100041586,Gm3417,predicted gene 3417,17,1.321517591,0.093216809,-4.411929264,0.000628153,0.004445822,-0.23215558
271711,Tmem169,transmembrane protein 169,1,1.319938696,0.480750053,-4.877182799,0.000263528,0.002373023,0.579996776
353282,Sfmbt2,Scm-like with four mbt domains 2,2,1.319138041,0.910433365,-5.223806683,0.000140406,0.001563288,1.137754566
71816,Rnf180,ring finger protein 180,13,1.318979576,3.669516198,-10.07629567,1.08E-07,1.82E-05,8.006432263
17771,Mtl5,"metallothionein-like 5, testis-specific (tesmin)",19,1.317620422,0.167974136,-4.410886641,0.000629394,0.004452394,-0.244047228
218215,Rnf144b,ring finger protein 144B,13,1.31330263,2.045937166,-6.471367685,1.67E-05,0.000394279,3.121988695
74552,Nipal3,NIPA-like domain containing 3,4,1.312878461,1.498304743,-5.077386358,0.000182836,0.001865867,0.803342482
21936,Tnfrsf18,"tumor necrosis factor receptor superfamily, member 18",4,1.311923414,-0.455449296,-4.084014316,0.00117527,0.006840996,-0.778922579
16922,Phyh,phytanoyl-CoA hydroxylase,2,1.311421884,2.048540591,-7.170911041,5.54E-06,0.000194215,4.226065937
20193,S100a1,S100 calcium binding protein A1,3,1.306896221,2.131918182,-6.440857831,1.75E-05,0.000406041,3.058827082
67092,Gatm,glycine amidinotransferase (L-arginine:glycine amidinotransferase),2,1.306315358,6.33368065,-10.90469221,4.10E-08,1.41E-05,8.596430115
238161,Akap6,A kinase (PRKA) anchor protein 6,12,1.304486459,4.203283373,-10.18907155,9.41E-08,1.79E-05,8.050147997
67516,Kctd4,potassium channel tetramerisation domain containing 4,14,1.303730042,2.20984601,-5.924456134,4.13E-05,0.000715126,2.173618309
239652,Zfp641,zinc finger protein 641,15,1.303363704,2.909231764,-8.80666443,5.37E-07,4.56E-05,6.474924427
15203,Heph,hephaestin,X,1.303216479,-0.636383988,-3.814599401,0.001980514,0.009948727,-1.25396852
76505,1500009C09Rik,RIKEN cDNA 1500009C09 gene,15,1.300729867,2.529519162,-7.669472613,2.63E-06,0.00011971,4.919232151
70415,2610018G03Rik,RIKEN cDNA 2610018G03 gene,X,1.299263084,-1.030574436,-4.119403498,0.001097891,0.006531966,-0.670467381
100041621,Gm3435,predicted gene 3435,17,1.297663309,0.858620917,-4.989183643,0.00021465,0.002073056,0.732437197
100503859,1110015O18Rik,RIKEN cDNA 1110015O18 gene,3,1.297452713,1.934645624,-6.482100939,1.64E-05,0.00039081,3.14901076
81907,Tmem108,transmembrane protein 108,9,1.296093649,1.459060337,-5.034518689,0.000197636,0.001964421,0.713903429
14545,Gdap1,ganglioside-induced differentiation-associated-protein 1,1,1.293022395,2.579784323,-8.392097911,9.42E-07,6.54E-05,5.946867686
211612,Ptchd1,patched domain containing 1,X,1.291810331,1.225780948,-5.185198948,0.000150489,0.001640498,1.017660652
242125,Mab21l3,mab-21-like 3 (C. elegans),3,1.29018093,0.743863161,-4.222309259,0.000901228,0.005710852,-0.675197222
13116,Cyp46a1,"cytochrome P450, family 46, subfamily a, polypeptide 1",12,1.286630017,0.023043137,-3.903692099,0.001665576,0.00878224,-1.160818688
18530,Pcdh8,protocadherin 8,14,1.284812732,-0.002247713,-4.098162951,0.001143685,0.006725945,-0.790679895
286942,Kif19a,kinesin family member 19A,11,1.282584923,-0.515537263,-4.279907874,0.00080732,0.005313273,-0.415953036
54384,Mtmr7,myotubularin related protein 7,8,1.279629974,1.288181096,-5.489079819,8.77E-05,0.001140982,1.561760011
434280,Gm5607,predicted gene 5607,8,1.27709133,-0.620118799,-3.891815502,0.001704421,0.008937371,-1.117605497
20289,Scx,scleraxis,15,1.274836872,-0.479398933,-3.923526719,0.001602704,0.008532961,-1.065507404
64899,Lpin3,lipin 3,2,1.274725416,1.808324051,-4.429430883,0.000607685,0.004331125,-0.477975221
21898,Tlr4,toll-like receptor 4,4,1.271980753,1.452437487,-5.091022985,0.000178373,0.001838685,0.822511749
319743,9630013D21Rik,RIKEN cDNA 9630013D21 gene,4,1.27095162,-0.212942776,-4.42826571,0.000609026,0.004336549,-0.175605999
216613,Ccdc85a,coiled-coil domain containing 85A,11,1.269471074,2.085029419,-7.122344008,5.97E-06,0.000203445,4.136934772
11790,Speg,SPEG complex locus,1,1.264397462,2.123861411,-6.665466817,1.22E-05,0.000319106,3.41733632
107993,Bfsp2,"beaded filament structural protein 2, phakinin",9,1.264008513,-0.221369332,-4.025771861,0.001314984,0.007420373,-0.910968953
171211,Edaradd,EDAR (ectodysplasin-A receptor)-associated death domain,13,1.263632256,1.568951657,-6.469938634,1.67E-05,0.000394279,3.179950308
71263,Mro,maestro,18,1.26308033,2.055145837,-6.571478196,1.42E-05,0.000355271,3.276475578
19091,Prkg1,"protein kinase, cGMP-dependent, type I",19,1.2629202,0.819843798,-4.951561939,0.000229922,0.002165382,0.660896032
67295,Rab3c,"RAB3C, member RAS oncogene family",13,1.261216772,1.624092444,-5.422070557,9.87E-05,0.001231054,1.382092338
18526,Pcdh10,protocadherin 10,3,1.260223421,6.5985715,-10.36849782,7.61E-08,1.57E-05,7.92072053
434008,Tmem178b,transmembrane protein 178B,6,1.259599693,1.452709209,-4.956053378,0.000228041,0.002154767,0.567992649
93892,Pcdhb21,protocadherin beta 21,18,1.257481525,2.584020548,-10.11392892,1.03E-07,1.82E-05,8.180192383
15007,H2-Q10,"histocompatibility 2, Q region locus 10",17,1.257323407,-0.658694566,-4.258227293,0.000841428,0.005458348,-0.44637234
69291,1700001L05Rik,RIKEN cDNA 1700001L05 gene,15,1.255452346,0.413471301,-4.825419671,0.000289893,0.002542552,0.480258666
107376,E330013P04Rik,RIKEN cDNA E330013P04 gene,19,1.255337917,-0.422942834,-4.34406644,0.000714473,0.004877202,-0.306046335
11689,Alox5,arachidonate 5-lipoxygenase,6,1.254103096,1.317724724,-6.089768715,3.13E-05,0.00059473,2.579959408
214240,Disp2,dispatched homolog 2 (Drosophila),2,1.252543958,4.098059481,-7.833626519,2.07E-06,0.000102674,4.833081962
68203,Diras2,"DIRAS family, GTP-binding RAS-like 2",13,1.251135656,3.298685057,-7.546121011,3.15E-06,0.000134952,4.58409413
60596,Gucy1a3,"guanylate cyclase 1, soluble, alpha 3",3,1.24831389,2.778792833,-6.948367905,7.81E-06,0.000239037,3.757257815
225608,Sh3tc2,SH3 domain and tetratricopeptide repeats 2,18,1.247295438,0.3620472,-4.226705616,0.00089368,0.005683761,-0.602331368
217149,Cisd3,CDGSH iron sulfur domain 3,11,1.246671144,-0.117399676,-3.983542874,0.001426817,0.007837028,-1.005572019
14402,Gabrb3,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 3",7,1.243298967,5.495962558,-17.467265,1.01E-10,3.09E-07,14.95915882
320064,D130017N08Rik,RIKEN cDNA D130017N08 gene,5,1.242856387,-0.280286567,-3.975061197,0.001450426,0.007933011,-0.988563643
327766,Tmem26,transmembrane protein 26,10,1.23926756,-0.010329917,-4.388787273,0.000656313,0.004579061,-0.260443398
16525,Kcnk1,"potassium channel, subfamily K, member 1",8,1.238444096,1.961870108,-5.329780855,0.000116189,0.001374636,1.167910537
232821,Ccdc106,coiled-coil domain containing 106,7,1.236561861,1.366623514,-5.547574608,7.91E-05,0.001078078,1.642114671
68404,Nrn1,neuritin 1,13,1.236379896,2.845374656,-4.501601814,0.000530281,0.003949621,-0.619385763
21802,Tgfa,transforming growth factor alpha,6,1.233464457,3.242271169,-6.802067787,9.83E-06,0.00027408,3.428157387
29859,Sult4a1,"sulfotransferase family 4A, member 1",15,1.230758453,1.006529872,-5.035345213,0.000197339,0.001963257,0.774027712
192663,Abcg4,"ATP-binding cassette, sub-family G (WHITE), member 4",9,1.229639857,1.95474112,-5.956783688,3.91E-05,0.000692625,2.255997438
12716,Ckmt1,"creatine kinase, mitochondrial 1, ubiquitous",2,1.227792055,2.707645872,-6.074529237,3.21E-05,0.000604453,2.323048841
12814,Col11a1,"collagen, type XI, alpha 1",3,1.224677238,5.896773048,-13.1623591,3.89E-09,3.89E-06,11.11008701
320736,Vstm4,V-set and transmembrane domain containing 4,14,1.223226281,-0.50809493,-4.03955931,0.001280445,0.007271704,-0.854015914
94216,Col4a6,"collagen, type IV, alpha 6",X,1.217978995,2.204971976,-5.739472634,5.67E-05,0.00088247,1.833349815
381270,Mar-04,membrane-associated ring finger (C3HC4) 4,1,1.214819367,1.650454807,-5.51199547,8.42E-05,0.001117449,1.538779715
75744,Svip,small VCP/p97-interacting protein,7,1.214548078,3.175695543,-8.373645849,9.66E-07,6.61E-05,5.817113122
11735,Ank3,"ankyrin 3, epithelial",10,1.213956985,5.400496149,-8.694014792,6.25E-07,4.96E-05,5.842708421
